"Zipcode","Fair health","Poor health","Harmful Guards","Helpful Guards","Sidewalk Damage","rootstone","rootgrate","rootother","trunkwire","trnklight","trnkother","brchlight","brchshoe","brchother"
10473,0.102855816113304,0.0278616206175993,0,0,0.194799164151381,0.87717668911075,0.999767819828187,0.986997910378454,0,1,0.979103784536801,0.916647318319016,0.998839099140933,0.986533550034827
10474,0.126592049401775,0.0420686993438827,0,0,0.237746043998456,0.915476649942107,0.999228097259745,0.972983404091085,0,0.999228097259745,0.964492473948283,0.945580856812042,0.999228097259745,0.979930528753377
10475,0.134048257372654,0.0235924932975871,0,0,0.174798927613941,0.831635388739946,1,0.980160857908847,0,1,0.993565683646113,0.949597855227882,0.999463806970509,0.996246648793566
10550,0.137931034482759,0.0344827586206897,0,0,0.586206896551724,0.793103448275862,1,0.689655172413793,0,1,0.862068965517241,0.620689655172414,1,0.862068965517241
10704,0.0833333333333333,0,0,0,0.5,0.5,1,1,0,1,0.916666666666667,0.75,1,0.916666666666667
10705,0.25,0,0,0,0.125,0.625,1,1,0,1,0.875,0.75,1,1
10803,0.0238095238095238,0,0,0,0.0476190476190476,1,1,1,0,1,0.952380952380952,0.976190476190476,1,0.976190476190476
11001,0.160493827160494,0.222222222222222,0,0,0.111111111111111,0.91358024691358,1,1,0,1,1,0.950617283950617,1,1
11004,0.222910216718266,0.0402476780185759,0,0,0.281733746130031,0.851393188854489,1,0.979876160990712,0,1,0.992260061919505,0.962848297213622,1,0.989164086687306
11005,0,0,0,0,0.1875,1,1,1,0,1,1,1,1,1
11040,0.152941176470588,0.0470588235294118,0,0,0.141176470588235,0.952941176470588,1,0.988235294117647,0,1,1,0.929411764705882,1,1
11096,0,0,0,0,0,1,1,1,0,1,1,1,1,1
11101,0.182457212713936,0.0583740831295844,0,0,0.214853300733496,0.829462102689487,0.998777506112469,0.953545232273839,0,0.997860635696821,0.958129584352078,0.931234718826406,0.999388753056235,0.96179706601467
11102,0.1525,0.049375,0,0,0.36375,0.7475,0.999375,0.945625,0,0.9975,0.965,0.880625,0.99875,0.975
11103,0.131968145620023,0.0358361774744027,0,0,0.351535836177474,0.701365187713311,0.999431171786121,0.895904436860068,0,0.994311717861206,0.908418657565415,0.907281001137656,0.997724687144482,0.956200227531286
11104,0.191556395715186,0.0422180214240706,0,0,0.310018903591682,0.664146187775677,0.997479521109011,0.987397605545054,0,0.997479521109011,0.977945809703844,0.953371140516698,1,0.960302457466919
11105,0.138558986539984,0.0327263130113486,0,0,0.388493006070203,0.604381103193455,1,0.951702296120348,0,0.996569015571391,0.976774874637107,0.788862496700977,0.999736078120876,0.981525468461335
11106,0.11825860948668,0.0331384015594542,0,0,0.305393112410656,0.719948018193632,0.996751137102014,0.964262508122157,0,0.997400909681611,0.948667966211826,0.877842755035737,0.997400909681611,0.972059779077323
11109,0.0740740740740741,0.037037037037037,0,0,0.037037037037037,1,1,1,0,1,1,1,1,1
11201,0.210240679565833,0.0396413402548372,0,0,0.329872581406324,0.68546484190656,0.994100991033506,0.930627654554035,0,0.996932515337423,0.913874469089193,0.984426616328457,1,0.911042944785276
11203,0.154910096818811,0.0650069156293223,0,0,0.268326417704011,0.684647302904564,1,0.951590594744122,0,1,0.934993084370678,0.871369294605809,0.998616874135546,0.976486860304288
11204,0.128952772073922,0.0509240246406571,0,0,0.417248459958932,0.567967145790554,0.99958932238193,0.952361396303901,0,0.998357289527721,0.947843942505133,0.970431211498973,0.99958932238193,0.963860369609856
11205,0.117769454848107,0.0241364960466084,0,0,0.397003745318352,0.66167290886392,1,0.774032459425718,0,0.999583853516438,0.802746566791511,0.979192675821889,0.997503121098627,0.7632126508531
11206,0.176651735722284,0.0333146696528555,0,0,0.298712206047032,0.652295632698768,0.998040313549832,0.901735722284434,0,0.999720044792833,0.880739081746921,0.97060470324748,0.997480403135498,0.867861142217245
11207,0.163872691933916,0.0405733722060253,0,0,0.289844509232264,0.788751214771623,0.998542274052478,0.952259475218659,0,0.999028182701652,0.959912536443149,0.877065111758989,0.998785228377065,0.96379980563654
11208,0.128385032003939,0.0478828163466273,0,0,0.192885278188085,0.887124569177745,0.999876907927129,0.979074347612014,0,0.999753815854259,0.979074347612014,0.864721811915313,0.999261447562777,0.991875923190547
11209,0.198481561822126,0.0433839479392625,0,0,0.203904555314534,0.739696312364425,1,0.940347071583514,0,0.995661605206074,0.988069414316703,0.960954446854664,1,0.967462039045553
11210,0.118937157317588,0.0522986081822016,0,0,0.341206242091944,0.70223534373682,0.995360607338676,0.946014339940953,0,0.998734711092366,0.901307465204555,0.815689582454661,0.999578237030789,0.949810206663855
11211,0.106437926581811,0.0265633646928611,0,0,0.25936174137613,0.713152554879174,0.998524257517063,0.94484412470024,0,0.996310643792658,0.942999446596569,0.972698764065671,0.999262128758532,0.95941708171924
11212,0.137055837563452,0.0413343002175489,0,0,0.327048585931835,0.823060188542422,0.995649021029732,0.892675852066715,0,1,0.955039883973894,0.821609862218999,0.998549673676577,0.962291515591008
11213,0.196885428253615,0.0328142380422692,0,0,0.255839822024472,0.746941045606229,0.99944382647386,0.958286985539488,0,1,0.937708565072303,0.993325917686318,0.99944382647386,0.96384872080089
11214,0.179416620803522,0.0297193175564117,0,0,0.314804623004953,0.632361034672537,0.998899284534948,0.930654925701706,0,0.998348926802422,0.955421023665383,0.835443037974684,1,0.959273527793066
11215,0.142268748927407,0.0392998112236142,0,0,0.371889480006865,0.738973742920886,0.99656770207654,0.92363137120302,0,0.997769006349751,0.925175905268577,0.991590870087524,0.999656770207654,0.932726960700189
11216,0.168365086397873,0.0319007532122286,0,0,0.283119184758529,0.715551617190961,0.997784669915817,0.90739920248117,0,0.996012405848471,0.919805050952592,0.98094816127603,0.998227735932654,0.913159060700044
11217,0.193986420950533,0.0387972841901067,0,0,0.411251212415131,0.667313288069835,0.984157775622373,0.907856450048497,0,0.995150339476237,0.883931458131264,0.984157775622373,0.997090203685742,0.912059489169092
11218,0.147330389401847,0.0413488558811722,0,0,0.270975511842633,0.81493376154155,0.998394219189081,0.948615014050582,0,0.99919710959454,0.970293054997993,0.990365315134484,1,0.97591328783621
11219,0.181272509003601,0.0540216086434574,0,0,0.34093637454982,0.637454981992797,1,0.890756302521008,0,1,0.957983193277311,0.843937575030012,0.997599039615846,0.974789915966387
11220,0.136758893280632,0.0466403162055336,0,0,0.388142292490119,0.592885375494071,1,0.911462450592885,0,0.997628458498024,0.924110671936759,0.951778656126482,0.998418972332016,0.93596837944664
11221,0.129728132387707,0.0236406619385343,0,0,0.390366430260047,0.622635933806147,0.990248226950355,0.863475177304965,0,0.999113475177305,0.851654846335697,0.981382978723404,0.997044917257683,0.87677304964539
11222,0.13755364806867,0.0390557939914163,0,0,0.24549356223176,0.705793991416309,0.999570815450644,0.979184549356223,0,0.99656652360515,0.977682403433476,0.953218884120172,0.999141630901288,0.97618025751073
11223,0.180335968379447,0.0454545454545455,0,0,0.326086956521739,0.764575098814229,0.999505928853755,0.973073122529644,0,1,0.959733201581028,0.913784584980237,1,0.975049407114625
11224,0.246009906439185,0.0594386351128233,0,0,0.217941662080352,0.907539900935608,1,0.980737479361585,0,0.998899284534948,0.969179966978536,0.976884975233902,1,0.980737479361585
11225,0.269544924154026,0.0233372228704784,0,0,0.301050175029172,0.696616102683781,1,0.945157526254376,0,0.998833138856476,0.919486581096849,0.99416569428238,1,0.956826137689615
11226,0.128123580190822,0.040436165379373,0,0,0.279872785097683,0.832348932303498,0.998636983189459,0.978191731031349,0,1,0.970013630168105,0.990913221263062,1,0.983643798273512
11228,0.213395638629283,0.0685358255451713,0,0,0.431464174454829,0.560747663551402,1,0.889408099688474,0,0.996884735202492,0.947040498442368,0.73208722741433,0.995327102803738,0.948598130841122
11229,0.148411288731005,0.0550621669626998,0,0,0.335504243141899,0.798105387803434,0.999605289125715,0.981843299782909,0,1,0.97414643773436,0.907637655417407,0.999802644562858,0.97592263666864
11230,0.17089762734362,0.0570764891322383,0,0,0.276422764227642,0.798075327692052,0.999170399867264,0.982080637132902,0,1,0.955699352911896,0.9732868757259,0.999502239920358,0.975443836071014
11231,0.173756740563211,0.0536249251048532,0,0,0.37567405632115,0.688436189334931,0.995206710605153,0.895745955662073,0,0.998202516476932,0.931096464949071,0.940383463151588,0.999700419412822,0.942780107849011
11232,0.15839243498818,0.0449172576832151,0,0,0.284869976359338,0.862884160756501,0.997635933806147,0.963356973995272,0,0.998817966903073,0.953900709219858,0.973995271867612,1,0.973995271867612
11233,0.18011811023622,0.031003937007874,0,0,0.381397637795276,0.681102362204724,0.992125984251969,0.927657480314961,0,0.998031496062992,0.901574803149606,0.977854330708661,1,0.953248031496063
11234,0.149015932521087,0.0457357075913777,0,0,0.299531396438613,0.761574507966261,0.99962511715089,0.957450796626054,0,0.999250234301781,0.940018744142455,0.80037488284911,0.999250234301781,0.963636363636364
11235,0.264518695306285,0.0511137629276054,0,0,0.21678599840891,0.821599045346062,0.998210023866348,0.982299124900557,0,0.998210023866348,0.976929196499602,0.961614956245028,0.999403341288783,0.980310262529833
11236,0.231306306306306,0.0675675675675676,0,0,0.423873873873874,0.670045045045045,1,0.961711711711712,0,0.998873873873874,0.961261261261261,0.83490990990991,0.99954954954955,0.954279279279279
11237,0.236525785188057,0.0787126793330748,0,0,0.267933307483521,0.702985653354013,0.998061264055836,0.878635129895308,0,0.999612252811167,0.888716556804963,0.917022101589763,0.996122528111671,0.907328421868941
11238,0.15633343221596,0.0347078018392169,0,0,0.312963512310887,0.722337585286265,0.996440225452388,0.922871551468407,0,0.998813408484129,0.903886087214476,0.98605754968852,0.997923464847226,0.943043607238208
11239,0.124352331606218,0.0708117443868739,0,0,0.0898100172711572,0.889464594127807,1,1,0,1,0.996545768566494,0.977547495682211,1,0.998272884283247
11251,0.232142857142857,0.267857142857143,0,0,0.0178571428571429,1,1,0.982142857142857,0,1,0.982142857142857,1,1,0.946428571428571
